Char,Name,General Category,Canonical_Combining_Class,Decomposition_Type,Decomposition_Mapping,IndicPositionalCategory,IndicSyllabicCategory,OpenType (from Harfbuzz),Sanskrit
0F00,TIBETAN SYLLABLE OM,Lo,0,unofficial,0F68 0F7C 0F7E,,,,1
0F01,TIBETAN MARK GTER YIG MGO TRUNCATED A,So,0,,,,,,
0F02,TIBETAN MARK GTER YIG MGO -UM RNAM BCAD MA,So,0,unofficial,0F60 0F74 0F82 0F7F,,,,
0F03,TIBETAN MARK GTER YIG MGO -UM GTER TSHEG MA,So,0,unofficial,0F60 0F74 0F82 0F14,,,,
0F04,TIBETAN MARK INITIAL YIG MGO MDUN MA,Po,0,,,,,,
0F05,TIBETAN MARK CLOSING YIG MGO SGAB MA,Po,0,,,,,,
0F06,TIBETAN MARK CARET YIG MGO PHUR SHAD MA,Po,0,,,,,,
0F07,TIBETAN MARK YIG MGO TSHEG SHAD MA,Po,0,,,,,,
0F08,TIBETAN MARK SBRUL SHAD,Po,0,,,,,,
0F09,TIBETAN MARK BSKUR YIG MGO,Po,0,,,,,,
0F0A,TIBETAN MARK BKA- SHOG YIG MGO,Po,0,,,,,,
0F0B,TIBETAN MARK INTERSYLLABIC TSHEG,Po,0,,,,,,
0F0C,TIBETAN MARK DELIMITER TSHEG BSTAR,Po,0,noBreak,0F0B,,,,
0F0D,TIBETAN MARK SHAD,Po,0,,,,,,
0F0E,TIBETAN MARK NYIS SHAD,Po,0,,,,,,
0F0F,TIBETAN MARK TSHEG SHAD,Po,0,,,,,,
0F10,TIBETAN MARK NYIS TSHEG SHAD,Po,0,,,,,,
0F11,TIBETAN MARK RIN CHEN SPUNGS SHAD,Po,0,,,,,,
0F12,TIBETAN MARK RGYA GRAM SHAD,Po,0,,,,,,
0F13,TIBETAN MARK CARET -DZUD RTAGS ME LONG CAN,So,0,,,,,,
0F14,TIBETAN MARK GTER TSHEG,Po,0,,,,,,
0F15,TIBETAN LOGOTYPE SIGN CHAD RTAGS,So,0,,,,,,
0F16,TIBETAN LOGOTYPE SIGN LHAG RTAGS,So,0,,,,,,
0F17,TIBETAN ASTROLOGICAL SIGN SGRA GCAN -CHAR RTAGS,So,0,,,,,,
0F18,TIBETAN ASTROLOGICAL SIGN -KHYUD PA,Mn,220,,,Bottom,,VMBlw,
0F19,TIBETAN ASTROLOGICAL SIGN SDONG TSHUGS,Mn,220,,,Bottom,,VMBlw,
